ORD.,SIGA,GRUPO,GRUPO MATERIAL/SERVIÇO,CLASSE,CLASSE MATERIAL/SERVIÇO,"Nº TOMBO
ANTERIOR",ORIGEM anterior,"Nº TOMBO
ATUAL",ORIGEM ATUAL,NED,NF,VALOR,DESCRIÇÃO DO MATERIAL ( SISTEMA),DESCRIÇÃO RESUMIDA,QUANTIDADE,SITUAÇÃO,GALPÃO,ESTOQUE,SAÍDA,SALDO
90,792236,73," EQUIPAMENTOS PARA REFEITÓRIO, COPA E COZINHA",10,EQUIPAMENTOS DE COZINHA ,45444,STDS,,,,,,"FOGAO, 5 BOCAS, INOX, AUTOMATICO, QUEIMADORES FRONTAIS DUPLOS COM CONTROLE INDIVIDUAL DE CHAMAS",FOGÃO DOMESTICO DE 5 BOCAS,1,BOM,SEAS,1,1,0
11,984573,67," EQUIPAMENTOS DE COMUNICAÇÃO, DETECÇÃO E RADIAÇÃO",30,EQUIPAMENTOS DE PROJECAO,44516,STDS,,,3093,,"R$ 159,00","APARELHO DVD, PLAYER COMPACTO COM PORTA USB, MICROFONE, AUDIO REPFING, E KARAOKE, MP3, BIVOLT",APARELHO DVD,1,BOM,SEAS,1,0,1
1095,7313710,41,"EQUIPAMENTOS PARA REFRIGERAÇÃO, CONDICIONAMENTO E PURIFICAÇÃO DE AR",20,EQUIPAMENTOS DE CONDICIONAMENTO DE AR,43109,STDS,,,,,,"CENTRAL DE AR CONDICIONADO, CAPACIDADE MINIMA 48.000 BTUS, CONTROLE REMOTO SEM FIO, SPLIT SYSTEM'S, TETO, TRIFASICO, COMPRESSOR SCROLL, CLASSIFICACAO ""C"" DO INMETRO, COM INSTALACAO, 380 VOLTS, NO MINIMO 01 ANO DE GARANTIA TOTAL, COBERTURA 55 A 66M²",CONDENSADOR DE  48.000 BTUS,1,BOM,SEAS,1,0,1
,7313710,41,"EQUIPAMENTOS PARA REFRIGERAÇÃO, CONDICIONAMENTO E PURIFICAÇÃO DE AR",20,EQUIPAMENTOS DE CONDICIONAMENTO DE AR,43108,STDS,,,,,,"CENTRAL DE AR CONDICIONADO, CAPACIDADE MINIMA 48.000 BTUS, CONTROLE REMOTO SEM FIO, SPLIT SYSTEM'S, TETO, TRIFASICO, COMPRESSOR SCROLL, CLASSIFICACAO ""C"" DO INMETRO, COM INSTALACAO, 380 VOLTS, NO MINIMO 01 ANO DE GARANTIA TOTAL, COBERTURA 55 A 66M²",EVAPORADOR DE 48.000 BTUS,1,BOM,SEAS,1,0,1
12,755750,58," EQUIPAMENTOS DE COMUNICAÇÃO, DETECÇÃO E RADIAÇÃO",20,"EQUIPAMENTOS PARA COMUNICAÇÃO POR RADIO E TELEVISÃO, EXCETO OS DE AERONAVES
",SEM TOMBO,SEAS,,,,,,"RÁDIO, KIT: 2 RÁDIOS DE COMUNICAÇÃO, RECARREGÁVEIS (1 CX, 2 POR RÁDIO) E 2 BASE DE ALIMENTAÇÃO 220V RECARREGÁVEL, VISOR LCD RÁPIDA VISUALIZAÇÃO DO STATUS DO APARELHO",RADIO COMUNICADOR WALK TALK,20,BOM,SEAS,26,22,4
13,784124,58," EQUIPAMENTOS DE COMUNICAÇÃO, DETECÇÃO E RADIAÇÃO",20,"EQUIPAMENTOS PARA COMUNICAÇÃO POR RADIO E TELEVISÃO, EXCETO OS DE AERONAVES",39955,STDS,07576,SEAS,-,-,-,"APARELHO DE TELEVISÃO, LED 32"", COLORIDA, FULL HD,CONTROLE REMOTO, CONVERSOR DIGITAL INTEGRADO, ENTRADA USB, NO MÍNIMO 2 ENTRADAS HDMI, CONEXÕES DE ENTRADA E SAÍDA DE ÁUDIO E VIDEO DISPONÍVEIS PARA COMPUTADORES E LAPTOPS, DISPONIBILIDADE PARA RECONHECIMENTO DE PERIFÉRICOS DE INFORMÁTICA, SISTEMA DE AUDIO: ESTEREO, SAP, SELO PROCEL A, 220 VOLTS OU BIVOLT",TV 32 POLEGADAS LED,1,BOM,SEAS,1,1,0
14,784124,58," EQUIPAMENTOS DE COMUNICAÇÃO, DETECÇÃO E RADIAÇÃO",20,"EQUIPAMENTOS PARA COMUNICAÇÃO POR RADIO E TELEVISÃO, EXCETO OS DE AERONAVES",39954,STDS,00293,SEAS,-,-,-,"APARELHO DE TELEVISÃO, LED 32"", COLORIDA, FULL HD,CONTROLE REMOTO, CONVERSOR DIGITAL INTEGRADO, ENTRADA USB, NO MÍNIMO 2 ENTRADAS HDMI, CONEXÕES DE ENTRADA E SAÍDA DE ÁUDIO E VIDEO DISPONÍVEIS PARA COMPUTADORES E LAPTOPS, DISPONIBILIDADE PARA RECONHECIMENTO DE PERIFÉRICOS DE INFORMÁTICA, SISTEMA DE AUDIO: ESTEREO, SAP, SELO PROCEL A, 220 VOLTS OU BIVOLT",TV 32 POLEGADAS LED,1,BOM,SEAS,1,1,0
15,229130,70," EQUIPAMENTOS DE PROCESSAMENTO DE DADOS, DE SUPORTE SOFTWARE E SUPRIMENTOS",25,"UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAIDA DE DADOS
",48633,STDS,,,FALTA,,"R$ 0,00","MONITOR DE VIDEO, LENOVO THINKVISION L194 WIDE 19"" / 481MM ANTIREFLEXO TFT ACTIVE MATRIX LCD, BRILHO 300 CM/M2, CONTRASTE 1000:1 TEMPO DE RESPOSTA 5 MS, RESOLUCAO DE 1440 X 900 16 MILHOES DE CORES 14,3MM, DOTCH PITCH DE 0,285MM 16X10 H160º V160º,",MONITOR,1,BOM,SEAS,1,1,0
16,229130,70," EQUIPAMENTOS DE PROCESSAMENTO DE DADOS, DE SUPORTE SOFTWARE E SUPRIMENTOS",25,"UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAIDA DE DADOS
",48625,STDS,,,FALTA,,"R$ 0,00","MONITOR DE VIDEO, LENOVO THINKVISION L194 WIDE 19"" / 481MM ANTIREFLEXO TFT ACTIVE MATRIX LCD, BRILHO 300 CM/M2, CONTRASTE 1000:1 TEMPO DE RESPOSTA 5 MS, RESOLUCAO DE 1440 X 900 16 MILHOES DE CORES 14,3MM, DOTCH PITCH DE 0,285MM 16X10 H160º V160º,",MONITOR,1,BOM,SEAS,1,1,0
17,229130,70," EQUIPAMENTOS DE PROCESSAMENTO DE DADOS, DE SUPORTE SOFTWARE E SUPRIMENTOS",25,"UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAIDA DE DADOS
",48629,STDS,,,FALTA,,"R$ 0,00","MONITOR DE VIDEO, LENOVO THINKVISION L194 WIDE 19"" / 481MM ANTIREFLEXO TFT ACTIVE MATRIX LCD, BRILHO 300 CM/M2, CONTRASTE 1000:1 TEMPO DE RESPOSTA 5 MS, RESOLUCAO DE 1440 X 900 16 MILHOES DE CORES 14,3MM, DOTCH PITCH DE 0,285MM 16X10 H160º V160º,",MONITOR,1,BOM,SEAS,1,1,0
18,229130,70," EQUIPAMENTOS DE PROCESSAMENTO DE DADOS, DE SUPORTE SOFTWARE E SUPRIMENTOS",25,"UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAIDA DE DADOS
",48602,STDS,,,FALTA,,"R$ 0,00","MONITOR DE VIDEO, LENOVO THINKVISION L194 WIDE 19"" / 481MM ANTIREFLEXO TFT ACTIVE MATRIX LCD, BRILHO 300 CM/M2, CONTRASTE 1000:1 TEMPO DE RESPOSTA 5 MS, RESOLUCAO DE 1440 X 900 16 MILHOES DE CORES 14,3MM, DOTCH PITCH DE 0,285MM 16X10 H160º V160º,",MONITOR,1,BOM,SEAS,1,1,0
19,229130,70," EQUIPAMENTOS DE PROCESSAMENTO DE DADOS, DE SUPORTE SOFTWARE E SUPRIMENTOS",25,"UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAIDA DE DADOS
",48601,STDS,,,FALTA,,"R$ 0,00","MONITOR DE VIDEO, LENOVO THINKVISION L194 WIDE 19"" / 481MM ANTIREFLEXO TFT ACTIVE MATRIX LCD, BRILHO 300 CM/M2, CONTRASTE 1000:1 TEMPO DE RESPOSTA 5 MS, RESOLUCAO DE 1440 X 900 16 MILHOES DE CORES 14,3MM, DOTCH PITCH DE 0,285MM 16X10 H160º V160º,",MONITOR,1,BOM,SEAS,1,1,0
20,229130,70," EQUIPAMENTOS DE PROCESSAMENTO DE DADOS, DE SUPORTE SOFTWARE E SUPRIMENTOS",25,"UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAIDA DE DADOS
",48617,STDS,,,FALTA,,"R$ 0,00","MONITOR DE VIDEO, LENOVO THINKVISION L194 WIDE 19"" / 481MM ANTIREFLEXO TFT ACTIVE MATRIX LCD, BRILHO 300 CM/M2, CONTRASTE 1000:1 TEMPO DE RESPOSTA 5 MS, RESOLUCAO DE 1440 X 900 16 MILHOES DE CORES 14,3MM, DOTCH PITCH DE 0,285MM 16X10 H160º V160º,",MONITOR,1,BOM,SEAS,1,1,0
21,126705,70," EQUIPAMENTOS DE PROCESSAMENTO DE DADOS, DE SUPORTE SOFTWARE E SUPRIMENTOS",25,"UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAIDA DE DADOS
",48599,STDS,,,FALTA,,"R$ 0,00","MICROCOMPUTADOR, PROCESSADOR TIPO INTEL CORE 2 DUO, MEMORIA TIPO 2GB DDR2, BARRAMENTO 667MHZ, PLACA DE VIDEO INTEL GMA 3100, 8 USB, CPU E8400, 3.00GHZ, ARMAZENAMENTO HD 160GB",CPU,1,BOM,SEAS,1,1,0
22,126705,70," EQUIPAMENTOS DE PROCESSAMENTO DE DADOS, DE SUPORTE SOFTWARE E SUPRIMENTOS",25,"UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAIDA DE DADOS
",48413,STDS,,,FALTA,,"R$ 0,00","MICROCOMPUTADOR, PROCESSADOR TIPO INTEL CORE 2 DUO, MEMORIA TIPO 2GB DDR2, BARRAMENTO 667MHZ, PLACA DE VIDEO INTEL GMA 3100, 8 USB, CPU E8400, 3.00GHZ, ARMAZENAMENTO HD 160GB",CPU,1,BOM,SEAS,1,0,1
23,126705,70," EQUIPAMENTOS DE PROCESSAMENTO DE DADOS, DE SUPORTE SOFTWARE E SUPRIMENTOS",25,"UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAIDA DE DADOS
",SEM TOMBO,STDS,,,FALTA,,"R$ 0,00","MICROCOMPUTADOR, PROCESSADOR TIPO INTEL CORE 2 DUO, MEMORIA TIPO 2GB DDR2, BARRAMENTO 667MHZ, PLACA DE VIDEO INTEL GMA 3100, 8 USB, CPU E8400, 3.00GHZ, ARMAZENAMENTO HD 160GB",CPU,1,BOM,SEAS,1,0,1
24,229130,70," EQUIPAMENTOS DE PROCESSAMENTO DE DADOS, DE SUPORTE SOFTWARE E SUPRIMENTOS",25,"UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAIDA DE DADOS
",48395,STDS,,,3044,,"R$ 500,00","MONITOR DE VIDEO, LENOVO THINKVISION L194 WIDE 19"" / 481MM ANTIREFLEXO TFT ACTIVE MATRIX LCD, BRILHO 300 CM/M2, CONTRASTE 1000:1 TEMPO DE RESPOSTA 5 MS, RESOLUCAO DE 1440 X 900 16 MILHOES DE CORES 14,3MM, DOTCH PITCH DE 0,285MM 16X10 H160º V160º,",MONITOR,1,BOM,SEAS,1,1,0
25,126705,70," EQUIPAMENTOS DE PROCESSAMENTO DE DADOS, DE SUPORTE SOFTWARE E SUPRIMENTOS",25,"UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAIDA DE DADOS
",48613,STDS,00038,SEAS,,,,"MICROCOMPUTADOR, PROCESSADOR TIPO INTEL CORE 2 DUO, MEMORIA TIPO 2GB DDR2, BARRAMENTO 667MHZ, PLACA DE VIDEO INTEL GMA 3100, 8 USB, CPU E8400, 3.00GHZ, ARMAZENAMENTO HD 160GB",CPU,1,BOM,SEAS,1,0,1
26,229130,70," EQUIPAMENTOS DE PROCESSAMENTO DE DADOS, DE SUPORTE SOFTWARE E SUPRIMENTOS",25,"UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAIDA DE DADOS
",64915,STDS,000397,SEAS,,,,"MONITOR DE VIDEO, LENOVO THINKVISION L194 WIDE 19"" / 481MM ANTIREFLEXO TFT ACTIVE MATRIX LCD, BRILHO 300 CM/M2, CONTRASTE 1000:1 TEMPO DE RESPOSTA 5 MS, RESOLUCAO DE 1440 X 900 16 MILHOES DE CORES 14,3MM, DOTCH PITCH DE 0,285MM 16X10 H160º V160º,",MONITOR,1,BOM,SEAS,1,1,0
27,624749,79, EQUIPAMENTOS E MATERIAIS PARA LIMPEZA,20, UTENSILIOS DE LIMPEZA,Ñ TOMBA,STDS,,,,,,"VASSOURA, CARPETE, CERDAS SINTETICAS, BASE EM POLIETILENO MEDINDO 30CM, CABO DE MADEIRA PLASTIFICADO, COM ROSCA, AVULSO 1.0 UNIDADE",VASSOURA CARPETE,40,BOM,SEAS,40,1,39
28,529360,79, EQUIPAMENTOS E MATERIAIS PARA LIMPEZA,20, UTENSILIOS DE LIMPEZA,Ñ TOMBA,STDS,,,,,,"VASSOURA, PARA FOLHAS, REGULAVEL, EM METAL, COM NO MINIMO 22 DENTES, CABO EM MADEIRA COM 125 CM, VARIACAO DE +/- 5 CM, AVULSO 1.0 UNIDADE",VASSOURA METÁLICA,40,BOM,SEAS,1,0,1
29,593279,79, EQUIPAMENTOS E MATERIAIS PARA LIMPEZA,20, UTENSILIOS DE LIMPEZA,Ñ TOMBA,STDS,,,,,,"VASSOURA, TIPO GARI, CERDAS EM PIACAVA, BASE RETANGULAR EM MADEIRA MEDINDO APROXIDAMENTE 60 CM, CABO COM COMPRIMENTO EM MEDIA 110 CM, VARIACAO DIMENSIONAL +/- 5%, AVULSO 1.0 UNIDADE",VASSOURA PARA GARI 30 MM,80,BOM,SEAS,80,0,80
30,6917710,79, EQUIPAMENTOS E MATERIAIS PARA LIMPEZA,20, UTENSILIOS DE LIMPEZA,Ñ TOMBA,STDS,,,,,,"VASSOURA, GARI, NYLON, LARGURA MINIMA 40CM,, BASE RETANGULAR MADEIRA, CABO REFORCADO MINIMO 1,10M, AVULSO 1.0 UNIDADE",VASSOURA PARA GARI 40 MM,80,BOM,SEAS,80,0,80
31,1678,72, EQUIPAMENTOS E MATERIAIS PARA LIMPEZA,20,UTENSÍLIOS DE LIMPEZA,SEM TOMBO,,,,,,,"PALHA DE ACO, LA DE ACO",PALHA DE AÇO Nº 2,30,,,,,
32,771690,78, EQUIPAMENTOS E MATERIAIS PARA RECREAÇÃO E DESPORTO,10,EQUIPAMENTOS ESPORTIVOS,45182,STDS,,,,,,"MESA PARA JOGOS ESPORTIVOS, PEBOLIM DE MESA, COMPOSICAO: 1 MESA, 2 GOLEIRAS, 2 BOLINHAS, 4 PES, 8 VARAIS E 1 CONJUNTO DE PARAFUSOS, EM MDF, ALUMINIO, PLASTICO, LARGURA: 84,00 CM, ALTURA: 79,00 CM, PROFUNDIDADE: 99,00 CM, PESO: 7,97 KG",MESA DE PEBOLIM,1,BOM,SEAS,1,1,0
33,FALTA,78, EQUIPAMENTOS E MATERIAIS PARA RECREAÇÃO E DESPORTO,10,EQUIPAMENTOS ESPORTIVOS,SEM TOMBO,STDS,,,,,,TAQUEIRA,TAQUEIRA,1,BOM,,1,0,1
34,FALTA,78, EQUIPAMENTOS E MATERIAIS PARA RECREAÇÃO E DESPORTO,10,EQUIPAMENTOS ESPORTIVOS,SEM TOMBO,STDS,,,,,,TAQUEIRA,TAQUEIRA,1,BOM,,1,0,1
35,FALTA,78, EQUIPAMENTOS E MATERIAIS PARA RECREAÇÃO E DESPORTO,10,EQUIPAMENTOS ESPORTIVOS,SEM TOMBO,STDS,,,,,,TAQUEIRA,TAQUEIRA,1,BOM,,1,0,1
37,826602,78, EQUIPAMENTOS E MATERIAIS PARA RECREAÇÃO E DESPORTO,10,EQUIPAMENTOS ESPORTIVOS,45183,STDS,,,,,,"MESA PARA JOGOS ESPORTIVOS, OFICIAL, TÊNIS DE MESA PING PONG, TAMPO 15MM, PÉS DE MADEIRA MACICA DOBRÁVEIS, 2,74M COMPRIMENTO,",MESA DE PING – PONG,1,BOM,,1,0,1
38,826602,78, EQUIPAMENTOS E MATERIAIS PARA RECREAÇÃO E DESPORTO,10,EQUIPAMENTOS ESPORTIVOS,49691,STDS,,,,,,"MESA PARA JOGOS ESPORTIVOS, OFICIAL, TÊNIS DE MESA PING PONG, TAMPO 15MM, PÉS DE MADEIRA MACICA DOBRÁVEIS, 2,74M COMPRIMENTO,",MESA DE PING – PONG,1,BOM,,1,1,0
39,826602,78, EQUIPAMENTOS E MATERIAIS PARA RECREAÇÃO E DESPORTO,10,EQUIPAMENTOS ESPORTIVOS,45236,STDS,,,,,,"MESA PARA JOGOS ESPORTIVOS, OFICIAL, TÊNIS DE MESA PING PONG, TAMPO 15MM, PÉS DE MADEIRA MACICA DOBRÁVEIS, 2,74M COMPRIMENTO,",MESA DE PING – PONG,1,BOM,,1,0,1
40,826602,78, EQUIPAMENTOS E MATERIAIS PARA RECREAÇÃO E DESPORTO,10,EQUIPAMENTOS ESPORTIVOS,49692,STDS,,,,,,"MESA PARA JOGOS ESPORTIVOS, OFICIAL, TÊNIS DE MESA PING PONG, TAMPO 15MM, PÉS DE MADEIRA MACICA DOBRÁVEIS, 2,74M COMPRIMENTO,",MESA DE PING – PONG,1,BOM,,1,0,1
41,FALTA,78, EQUIPAMENTOS E MATERIAIS PARA RECREAÇÃO E DESPORTO,10,EQUIPAMENTOS ESPORTIVOS,45185,STDS,-,-,-,-,-,MESA DE SINUCA,MESA DE SINUCA,1,BOM,,1,1,0
42,FALTA,78, EQUIPAMENTOS E MATERIAIS PARA RECREAÇÃO E DESPORTO,10,EQUIPAMENTOS ESPORTIVOS,49689,STDS,-,-,-,-,-,MESA DE SINUCA,MESA DE SINUCA,1,BOM,,1,0,1
43,FALTA,78, EQUIPAMENTOS E MATERIAIS PARA RECREAÇÃO E DESPORTO,10,EQUIPAMENTOS ESPORTIVOS,49690,STDS,-,-,-,-,-,MESA DE SINUCA,MESA DE SINUCA,1,BOM,,1,0,1
44,89222,78, EQUIPAMENTOS E MATERIAIS PARA RECREAÇÃO E DESPORTO,20,"JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODA ",Ñ TOMBA,STDS,,,,,,"JOGO DE FUTEBOL DE MESA, TIPO BOTAO, CAMISAS NUMERADAS, BOLA, PALHETA, GOLEIRO E REGRAS DO JOGO ",TABULEIRO DE JOGO DE BOTÃO,30,BOM,,30,2,28
45,732627,78, EQUIPAMENTOS E MATERIAIS PARA RECREAÇÃO E DESPORTO,20,"JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODA ",Ñ TOMBA,STDS,,,,,,"BARALHO, JOGO, 54 CARTAS, PALPEL TRIPLEX PLASTIFICADO, ",JOGO DE BARALHO,30,BOM,,30,0,30
46,888488,78, EQUIPAMENTOS E MATERIAIS PARA RECREAÇÃO E DESPORTO,20,"JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODA ",Ñ TOMBA,STDS,,,,,,"JOGO, DAMAS E TRILHA, TABULEIRO MDF, PECAS PLASTICAS, ",JOGO DE DAMA PEÇAS DE PLÁSTICO,50,BOM,SEAS,50,0,50
47,824018,67," EQUIPAMENTOS FOTOGRÁFICOS, FILMOGRÁFICOS E FONOGRÁFICOS",55, ACESSÓRIOS PARA SOM,SEM TOMBO,STDS,,,,,,TRIPÉ P/ MICROFONE TIPO GIRAFA,TRIPÉ,1,BOM,SEAS,1,1,0
48,824018,67," EQUIPAMENTOS FOTOGRÁFICOS, FILMOGRÁFICOS E FONOGRÁFICOS",55, ACESSÓRIOS PARA SOM,SEM TOMBO,STDS,,,,,,TRIPÉ P/ MICROFONE TIPO GIRAFA,TRIPÉ,1,BOM,SEAS,1,1,0
49,824018,67," EQUIPAMENTOS FOTOGRÁFICOS, FILMOGRÁFICOS E FONOGRÁFICOS",55, ACESSÓRIOS PARA SOM,SEM TOMBO,STDS,,,,,,TRIPÉ P/ MICROFONE TIPO GIRAFA,TRIPÉ,1,BOM,SEAS,1,0,1
50,824018,67," EQUIPAMENTOS FOTOGRÁFICOS, FILMOGRÁFICOS E FONOGRÁFICOS",55, ACESSÓRIOS PARA SOM,SEM TOMBO,STDS,,,,,,TRIPÉ P/ MICROFONE TIPO GIRAFA,TRIPÉ,1,BOM,SEAS,1,0,1
51,172090,67," EQUIPAMENTOS FOTOGRÁFICOS, FILMOGRÁFICOS E FONOGRÁFICOS ",50, EQUIPAMENTOS DE SOM ,40927,STDS,,,,,,"MESA DE SOM, 06 (SEIS) CANAIS, ENTRADA USB, GARANTIA 12 (DOZE) MESES, UNIDADE 1.0 UNIDADE ",MESA DE SOM,1,BOM,SEAS,1,1,0
52,172090,67," EQUIPAMENTOS FOTOGRÁFICOS, FILMOGRÁFICOS E FONOGRÁFICOS ",50, EQUIPAMENTOS DE SOM ,48035,STDS,,,,,,"MESA DE SOM, 06 (SEIS) CANAIS, ENTRADA USB, GARANTIA 12 (DOZE) MESES, UNIDADE 1.0 UNIDADE ",MESA DE SOM,1,BOM,SEAS,1,1,0
53,172090,67," EQUIPAMENTOS FOTOGRÁFICOS, FILMOGRÁFICOS E FONOGRÁFICOS ",50, EQUIPAMENTOS DE SOM ,48059,STDS,,,,,,"MESA DE SOM, 06 (SEIS) CANAIS, ENTRADA USB, GARANTIA 12 (DOZE) MESES, UNIDADE 1.0 UNIDADE ",MESA DE SOM,1,BOM,SEAS,1,1,0
54,689933,73," EQUIPAMENTOS PARA REFEITÓRIO, COPA E COZINHA",10, EQUIPAMENTOS DE COZINHA,45551,STDS,,,,,,"FOGÃO, INDUSTRIAL, 4 BOCAS DE BAIXA PRESSÃO, INOX, BICOS INJETORES LATÃO,",FOGÃO INDUSTRIAL COM 4 BOCAS,1,BOM,SEAS,1,0,1
55,689933,73," EQUIPAMENTOS PARA REFEITÓRIO, COPA E COZINHA",10, EQUIPAMENTOS DE COZINHA,45552,STDS,07516,SEAS,,,,"FOGÃO, INDUSTRIAL, 4 BOCAS DE BAIXA PRESSÃO, INOX, BICOS INJETORES LATÃO,",FOGÃO INDUSTRIAL COM 4 BOCAS,1,BOM,SEAS,1,0,1
56,689933,73," EQUIPAMENTOS PARA REFEITÓRIO, COPA E COZINHA",10, EQUIPAMENTOS DE COZINHA,45549,STDS,,,,,,"FOGÃO, INDUSTRIAL, 4 BOCAS DE BAIXA PRESSÃO, INOX, BICOS INJETORES LATÃO,",FOGÃO INDUSTRIAL COM 4 BOCAS,1,BOM,SEAS,1,0,1
57,68900,73," EQUIPAMENTOS PARA REFEITÓRIO, COPA E COZINHA",20,RECIPIENTES E UTENSÍLIOS DE COZINHA,48858,STDS,,,,,,"MULTIPROCESSADOR, 02 VELOCIDADES, 530 W,",MULTI PROCESSADOR INDUSTRIAL,1,BOM,SEAS,1,0,1
